generator,graph_id,config,method,khop,time
Scale Free,e23,7,adjmat,4,23.60474659
Scale Free,e17,5,incmat,2,0.037883713
Scale Free,e17,5,incmat,3,2.621009274
Scale Free,e17,5,incmat,4,170.1147188
Scale Free,e18,5,incmat,2,0.031108013
Scale Free,e18,5,incmat,3,3.839153035
Scale Free,e18,5,incmat,4,147.9859305
Scale Free,e19,6,incmat,2,0.002351466
Scale Free,e19,6,incmat,3,0.022404429
Scale Free,e19,6,incmat,4,0.388445349
Scale Free,e20,6,incmat,2,0.002091118
Scale Free,e20,6,incmat,3,0.010020531
Scale Free,e20,6,incmat,4,0.23327815
Scale Free,e21,6,incmat,2,0.001893444
Scale Free,e21,6,incmat,3,0.014931215
Scale Free,e21,6,incmat,4,0.307467868
Scale Free,e22,7,incmat,2,0.019491374
Scale Free,e22,7,incmat,3,0.588774929
Scale Free,e22,7,incmat,4,40.92331378
Scale Free,e23,7,incmat,2,0.021436115
Scale Free,e23,7,incmat,3,0.982293107
Scale Free,e23,7,incmat,4,58.72888607
